DATE&TIME,Air_Temp_Avg,RH_Avg
04/15/2025 17:00,15.5,36.4
04/15/2025 18:00,13.4,43.6
04/15/2025 19:00,10.9,58.4
04/15/2025 20:00,9.3,72.2
04/15/2025 21:00,8.2,79.4
04/15/2025 22:00,7.5,83.2
04/15/2025 23:00,7.2,82.9
04/16/2025 00:00,6.6,83.4
04/16/2025 01:00,6.3,83.7
04/16/2025 02:00,5.8,83.8
04/16/2025 03:00,5.6,84.3
04/16/2025 04:00,5.4,84.7
04/16/2025 05:00,5.4,85.1
04/16/2025 06:00,5.6,85.1
04/16/2025 07:00,7.5,82.3
04/16/2025 08:00,16.4,65.3
04/16/2025 09:00,18.7,40.7
04/16/2025 10:00,21.9,36.7
04/16/2025 11:00,25.6,31.6
04/16/2025 12:00,25.1,32.41
04/16/2025 13:00,26.1,30.6
04/16/2025 14:00,27,31.21
04/16/2025 15:00,26.6,29.91
04/16/2025 16:00,26.8,28.3
04/16/2025 17:00,26.1,23.7
04/16/2025 18:00,23.7,27.9
04/16/2025 19:00,21.7,28.6
04/16/2025 20:00,20.5,26.7
04/16/2025 21:00,19.8,33.1
04/16/2025 22:00,19,46.2
04/16/2025 23:00,18.3,56.3
04/17/2025 00:00,17.2,61.8
04/17/2025 01:00,15.4,68.9
04/17/2025 02:00,14.3,76.6
04/17/2025 03:00,15.9,72.8
04/17/2025 04:00,16,73.9
04/17/2025 05:00,15.8,75.5
04/17/2025 06:00,16.3,74.1
04/17/2025 07:00,17.5,71.91
04/17/2025 08:00,20.6,63.3
04/17/2025 09:00,23.7,54.48
04/17/2025 10:00,25.2,48.21
04/17/2025 11:00,25.9,47.39
04/17/2025 12:00,27,44.2
04/17/2025 13:00,28.4,40.99
04/17/2025 14:00,28.5,41.11
04/17/2025 15:00,28.2,42.09
04/17/2025 16:00,28.4,40.3
04/17/2025 17:00,28,40.7
04/17/2025 18:00,26.6,44.3
04/17/2025 19:00,24.5,51.59
04/17/2025 20:00,22.3,61.48
04/17/2025 21:00,21.4,64.21
04/17/2025 22:00,20.1,68.8
04/17/2025 23:00,19.1,71.49
04/18/2025 00:00,18.9,71.2
04/18/2025 01:00,18.2,74.3
04/18/2025 02:00,17.5,79.2
04/18/2025 03:00,17,82.6
04/18/2025 04:00,16.5,85.3
04/18/2025 05:00,15.3,90
04/18/2025 06:00,15.4,90.8
04/18/2025 07:00,17.9,82.3
