지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-09-24,00:00,0,21.2,1.9,71,2025-09-24 00:00,2025,09
전주,2025-09-24,01:00,0,21.6,1.6,68,2025-09-24 01:00,2025,09
전주,2025-09-24,02:00,0,21.5,1.5,69,2025-09-24 02:00,2025,09
전주,2025-09-24,03:00,0,21.7,2.5,71,2025-09-24 03:00,2025,09
전주,2025-09-24,04:00,0,21.3,2.3,73,2025-09-24 04:00,2025,09
전주,2025-09-24,05:00,0,21.1,1.6,75,2025-09-24 05:00,2025,09
전주,2025-09-24,06:00,0,21.2,1.4,76,2025-09-24 06:00,2025,09
전주,2025-09-24,07:00,0.05,21.8,2.4,76,2025-09-24 07:00,2025,09
전주,2025-09-24,08:00,0.49,24.4,2.0,70,2025-09-24 08:00,2025,09
전주,2025-09-24,09:00,0.93,25.7,0.6,68,2025-09-24 09:00,2025,09
전주,2025-09-24,10:00,0.91,26.2,2.2,69,2025-09-24 10:00,2025,09
전주,2025-09-24,11:00,1.51,28.4,2.8,67,2025-09-24 11:00,2025,09
전주,2025-09-24,12:00,1.49,28.9,3.7,69,2025-09-24 12:00,2025,09
전주,2025-09-24,13:00,1.41,28.8,3.3,70,2025-09-24 13:00,2025,09
전주,2025-09-24,14:00,0.68,27.9,3.0,73,2025-09-24 14:00,2025,09
전주,2025-09-24,15:00,0.52,27.9,2.1,74,2025-09-24 15:00,2025,09
전주,2025-09-24,16:00,0.51,28.3,2.2,74,2025-09-24 16:00,2025,09
전주,2025-09-24,17:00,0.14,23.1,2.2,89,2025-09-24 17:00,2025,09
전주,2025-09-24,18:00,0.11,23.1,1.8,90,2025-09-24 18:00,2025,09
전주,2025-09-24,19:00,0.03,23.2,0.6,90,2025-09-24 19:00,2025,09
전주,2025-09-24,20:00,0,23.3,1.3,91,2025-09-24 20:00,2025,09
전주,2025-09-24,21:00,0,23.0,1.5,92,2025-09-24 21:00,2025,09
전주,2025-09-24,22:00,0,23.1,1.4,90,2025-09-24 22:00,2025,09
전주,2025-09-24,23:00,0,23.0,1.1,90,2025-09-24 23:00,2025,09
전주,2025-09-25,00:00,0,22.6,1.7,92,2025-09-25 00:00,2025,09
전주,2025-09-25,01:00,0,22.9,1.0,91,2025-09-25 01:00,2025,09
전주,2025-09-25,02:00,0,22.7,0.3,92,2025-09-25 02:00,2025,09
전주,2025-09-25,03:00,0,22.7,1.1,93,2025-09-25 03:00,2025,09
전주,2025-09-25,04:00,0,22.5,0.7,94,2025-09-25 04:00,2025,09
전주,2025-09-25,05:00,0,22.4,1.2,94,2025-09-25 05:00,2025,09
전주,2025-09-25,06:00,0,22.4,0.7,94,2025-09-25 06:00,2025,09
전주,2025-09-25,07:00,0.01,22.5,0.5,94,2025-09-25 07:00,2025,09
전주,2025-09-25,08:00,0.1,22.5,1.9,95,2025-09-25 08:00,2025,09
전주,2025-09-25,09:00,0.26,23.1,0.6,93,2025-09-25 09:00,2025,09
전주,2025-09-25,10:00,0.49,23.5,2.1,91,2025-09-25 10:00,2025,09
전주,2025-09-25,11:00,0.51,23.3,1.4,92,2025-09-25 11:00,2025,09
전주,2025-09-25,12:00,0.5,23.3,1.9,94,2025-09-25 12:00,2025,09
전주,2025-09-25,13:00,0.99,24.5,0.8,90,2025-09-25 13:00,2025,09
전주,2025-09-25,14:00,0.5,24.2,1.2,89,2025-09-25 14:00,2025,09
전주,2025-09-25,15:00,0.63,24.1,1.8,90,2025-09-25 15:00,2025,09
전주,2025-09-25,16:00,1.1,25.5,0.9,86,2025-09-25 16:00,2025,09
전주,2025-09-25,17:00,0.72,25.6,0.9,82,2025-09-25 17:00,2025,09
전주,2025-09-25,18:00,0.28,25.1,1.3,82,2025-09-25 18:00,2025,09
전주,2025-09-25,19:00,0.02,24.2,1.0,86,2025-09-25 19:00,2025,09
