inner_temp,inner_hum,Date&Time,outer_temp,outer_hum,wind_speed,wind_dir,rainfall,solar_rad,pressure,hour,day,month,dayofweek,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,season,is_weekend,inner_temp_lag_1,inner_temp_lag_3,inner_temp_lag_6,inner_hum_lag_1,inner_hum_lag_3,inner_hum_lag_6
7.2,82.9,2025-04-15 23:00:00,6.7,84.0,1.5,110.0,0.0,0.0,1011.0,23,15,4,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,7.5,9.3,15.5,83.2,72.2,36.4
6.6,83.4,2025-04-16 00:00:00,6.7,84.0,1.5,110.0,0.0,0.0,1011.0,0,16,4,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,7.2,8.2,13.4,82.9,79.4,43.6
6.3,83.7,2025-04-16 01:00:00,6.6,84.0,0.8,160.0,0.0,0.0,1010.9,1,16,4,2,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,6.6,7.5,10.9,83.4,83.2,58.4
5.8,83.8,2025-04-16 02:00:00,6.4,83.0,0.9,140.0,0.0,0.0,1011.0,2,16,4,2,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,6.3,7.2,9.3,83.7,82.9,72.2
5.6,84.3,2025-04-16 03:00:00,5.7,85.0,1.3,140.0,0.0,0.0,1010.6,3,16,4,2,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,5.8,6.6,8.2,83.8,83.4,79.4
5.4,84.7,2025-04-16 04:00:00,6.2,81.0,1.6,160.0,0.0,0.0,1010.3,4,16,4,2,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,5.6,6.3,7.5,84.3,83.7,83.2
5.4,85.1,2025-04-16 05:00:00,6.6,77.0,2.1,140.0,0.0,0.0,1009.7,5,16,4,2,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,5.4,5.8,7.2,84.7,83.8,82.9
5.6,85.1,2025-04-16 06:00:00,7.4,73.0,2.1,140.0,0.0,0.0,1009.9,6,16,4,2,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,5.4,5.6,6.6,85.1,84.3,83.4
7.5,82.3,2025-04-16 07:00:00,8.7,68.0,2.3,140.0,0.0,0.16,1009.8,7,16,4,2,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,5.6,5.4,6.3,85.1,84.7,83.7
16.4,65.3,2025-04-16 08:00:00,11.9,58.0,1.8,160.0,0.0,0.73,1009.7,8,16,4,2,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,7.5,5.4,5.8,82.3,85.1,83.8
18.7,40.7,2025-04-16 09:00:00,16.0,49.0,2.1,140.0,0.0,1.45,1009.2,9,16,4,2,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,16.4,5.6,5.6,65.3,85.1,84.3
21.9,36.7,2025-04-16 10:00:00,19.3,42.0,1.2,160.0,0.0,2.12,1009.1,10,16,4,2,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,18.7,7.5,5.4,40.7,82.3,84.7
25.6,31.6,2025-04-16 11:00:00,22.1,37.0,2.2,230.0,0.0,2.65,1009.1,11,16,4,2,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,21.9,16.4,5.4,36.7,65.3,85.1
25.1,32.41,2025-04-16 12:00:00,23.0,37.0,3.6,250.0,0.0,2.96,1008.8,12,16,4,2,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,25.6,18.7,5.6,31.6,40.7,85.1
26.1,30.6,2025-04-16 13:00:00,23.4,36.0,5.1,250.0,0.0,2.95,1008.2,13,16,4,2,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,25.1,21.9,7.5,32.41,36.7,82.3
27.0,31.21,2025-04-16 14:00:00,24.3,36.0,4.7,230.0,0.0,2.9,1007.8,14,16,4,2,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,26.1,25.6,16.4,30.6,31.6,65.3
26.6,29.91,2025-04-16 15:00:00,25.4,32.0,4.8,230.0,0.0,2.62,1007.4,15,16,4,2,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,27.0,25.1,18.7,31.21,32.41,40.7
26.8,28.3,2025-04-16 16:00:00,25.9,30.0,3.0,250.0,0.0,2.12,1006.8,16,16,4,2,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,26.6,26.1,21.9,29.91,30.6,36.7
26.1,23.7,2025-04-16 17:00:00,24.8,26.0,3.8,230.0,0.0,1.26,1006.8,17,16,4,2,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,26.8,27.0,25.6,28.3,31.21,31.6
23.7,27.9,2025-04-16 18:00:00,23.5,28.0,3.1,200.0,0.0,0.63,1006.5,18,16,4,2,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,26.1,26.6,25.1,23.7,29.91,32.41
21.7,28.6,2025-04-16 19:00:00,21.8,31.0,3.1,180.0,0.0,0.16,1006.6,19,16,4,2,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,23.7,26.8,26.1,27.9,28.3,30.6
20.5,26.7,2025-04-16 20:00:00,21.5,27.0,2.5,180.0,0.0,0.0,1007.3,20,16,4,2,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,21.7,26.1,27.0,28.6,23.7,31.21
19.8,33.1,2025-04-16 21:00:00,20.6,35.0,3.5,180.0,0.0,0.0,1007.8,21,16,4,2,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,20.5,23.7,26.6,26.7,27.9,29.91
19.0,46.2,2025-04-16 22:00:00,19.3,50.0,3.2,180.0,0.0,0.0,1008.5,22,16,4,2,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,19.8,21.7,26.8,33.1,28.6,28.3
18.3,56.3,2025-04-16 23:00:00,18.5,58.0,2.3,180.0,0.0,0.0,1008.8,23,16,4,2,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,19.0,20.5,26.1,46.2,26.7,23.7
17.2,61.8,2025-04-17 00:00:00,18.1,61.0,3.0,160.0,0.0,0.0,1008.7,0,17,4,3,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,18.3,19.8,23.7,56.3,33.1,27.9
15.4,68.9,2025-04-17 01:00:00,17.9,63.0,2.4,160.0,0.0,0.0,1009.2,1,17,4,3,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,17.2,19.0,21.7,61.8,46.2,28.6
14.3,76.6,2025-04-17 02:00:00,18.0,66.0,2.7,140.0,0.0,0.0,1008.8,2,17,4,3,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,15.4,18.3,20.5,68.9,56.3,26.7
15.9,72.8,2025-04-17 03:00:00,17.2,69.0,2.8,140.0,0.0,0.0,1007.9,3,17,4,3,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,14.3,17.2,19.8,76.6,61.8,33.1
16.0,73.9,2025-04-17 04:00:00,17.7,69.0,3.3,140.0,0.0,0.0,1007.5,4,17,4,3,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,15.9,15.4,19.0,72.8,68.9,46.2
15.8,75.5,2025-04-17 05:00:00,17.3,71.0,2.4,160.0,0.0,0.0,1007.1,5,17,4,3,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,16.0,14.3,18.3,73.9,76.6,56.3
16.3,74.1,2025-04-17 06:00:00,16.6,74.0,2.6,140.0,0.0,0.0,1007.0,6,17,4,3,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,15.8,15.9,17.2,75.5,72.8,61.8
17.5,71.91,2025-04-17 07:00:00,18.1,72.0,1.9,140.0,0.0,0.16,1007.0,7,17,4,3,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,16.3,16.0,15.4,74.1,73.9,68.9
20.6,63.3,2025-04-17 08:00:00,19.8,67.0,2.9,160.0,0.0,0.7,1006.9,8,17,4,3,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,17.5,15.8,14.3,71.91,75.5,76.6
23.7,54.48,2025-04-17 09:00:00,21.3,61.0,3.5,160.0,0.0,1.41,1007.0,9,17,4,3,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,20.6,16.3,15.9,63.3,74.1,72.8
25.2,48.21,2025-04-17 10:00:00,23.2,56.0,3.3,160.0,0.0,1.97,1006.8,10,17,4,3,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,23.7,17.5,16.0,54.48,71.91,73.9
25.9,47.39,2025-04-17 11:00:00,24.0,54.0,3.4,160.0,0.0,2.47,1006.6,11,17,4,3,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,25.2,20.6,15.8,48.21,63.3,75.5
27.0,44.2,2025-04-17 12:00:00,26.4,48.0,3.2,160.0,0.0,2.8,1006.2,12,17,4,3,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,25.9,23.7,16.3,47.39,54.48,74.1
28.4,40.99,2025-04-17 13:00:00,26.8,44.0,3.3,180.0,0.0,2.82,1005.6,13,17,4,3,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,27.0,25.2,17.5,44.2,48.21,71.91
28.5,41.11,2025-04-17 14:00:00,27.9,45.0,3.6,160.0,0.0,2.61,1004.5,14,17,4,3,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,28.4,25.9,20.6,40.99,47.39,63.3
28.2,42.09,2025-04-17 15:00:00,27.2,45.0,2.8,160.0,0.0,2.16,1003.8,15,17,4,3,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,28.5,27.0,23.7,41.11,44.2,54.48
28.4,40.3,2025-04-17 16:00:00,27.9,43.0,3.0,160.0,0.0,1.72,1003.7,16,17,4,3,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,28.2,28.4,25.2,42.09,40.99,48.21
28.0,40.7,2025-04-17 17:00:00,27.6,43.0,2.5,180.0,0.0,1.3,1003.9,17,17,4,3,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,28.4,28.5,25.9,40.3,41.11,47.39
26.6,44.3,2025-04-17 18:00:00,26.9,44.0,1.8,180.0,0.0,0.65,1004.5,18,17,4,3,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,28.0,28.2,27.0,40.7,42.09,44.2
24.5,51.59,2025-04-17 19:00:00,25.2,51.0,1.7,160.0,0.0,0.12,1005.4,19,17,4,3,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,26.6,28.4,28.4,44.3,40.3,40.99
22.3,61.48,2025-04-17 20:00:00,22.7,62.0,2.1,140.0,0.0,0.01,1006.1,20,17,4,3,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,1,0,24.5,28.0,28.5,51.59,40.7,41.11
